Retention Code,Food Group Code,Retention Description,Calcium Ca,Iron Fe,Magnesium Mg,Phosphorus P,Potassium K,Sodium Na,Zinc Zn,Copper Cu,Vitamin C total ascorbic acid,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate food,Folic acid,Folate total,Choline total,Vitamin B-12,Vitamin A IU,Vitamin A RE,Alcohol ethyl,Carotene beta,Carotene alpha,Cryptoxanthin beta,Lycopene,Lutein + zeaxanthin
152,09,FRUITSFRESH(NOT CITRUS)BROILED,95,100,100,100,90 ,100,100,90,80,80,95,90,95,60,60,60,100,100,85,85,90,100,85,85,85.0,85.0
153,09,FRUITSFRESH(NOT CITRUS)SAUTEED,95,100,100,100,90 ,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75 ,100,75,75,75,75.0,75.0
154,09,FRUITSCANNED,95,100,100,100,90 ,100,100,90,50,80,90,90,90,50,50,50,100,100,75,75 ,100,75,75,75,75.0,75.0
155,09,FRUITSFRESH(NOT CITRUS)STEWED,95,100,100,100,90 ,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75 ,100,75,75,75,75.0,75.0
156,09,FRUITSFROZEN,95,100,100,100,90 ,100,100,90,70,95,100,100,100,95,95,95,100,100,95,95 ,100,95,95,95,95.0,95.0
157,09,FRUITSFRESH(NOT CITRUS)REHEATED,100,100,100,100, 100,100,100,100,95,95,100,100,100,95,95,95,100,100,95,95 ,100,95,95,95,95.0,95.0
158,09,FRUITSDRIED,100,100,100,100, 100,100,100,100,20,70,90,90,90,50,50,50,100,100,50,50 ,100,50,50,50,50.0,50.0
251,09,FRUITS(DRIED)BAKED,95,100,100,100,90 ,100,100,90,80,80,95,90,95,60,60,60,100,100,85,85 ,100,85,85,85,85.0,85.0
253,09,FRUITS(DRIED)SAUTEED,95,100,100,100,90 ,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75.0,75.0
255,09,FRUITS(DRIED)STEWED,95,100,100,100,90 ,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75.0,75.0
257,09,FRUITS(DRIED)REHEATED,100,100,100,100, 100,100,100,100,95,95,100,100,100,95,95,95,100,100,95,95,100,95,95,95,95.0,95.0
270,09,FRUITSCITRUSCKD,100,100,100,100, 100,100,100,100,95,95,95,95,95,70,70,70,100,100,95,95,100,95,95,95,95.0,95.0
1251,10,PORKFRESHBROILED,75,80,95,90,85,90,100,95,80,70,100,80,65,85,85,85,100,90,75,75 ,100,75,75,75,75.0,75.0
1252,10,PORKFRESHFRIEDWO/COATING,75,80,95,90,85,90,100,95,80,70,100,80,65,85,85,85,100,90,75,75 ,100,75,75,75,75.0,75.0
1253,10,PORKFRESHFRIEDW/COATING,75,80,95,90,85,90,100,95,80,70,100,80,65,85,85,85,100,90,75,75 ,100,75,75,75,75.0,75.0
